Gene	ID	Tumor	Normal	log2FC	Qvalue					
PTBP3	ENSG00000119314.15	37.901	8.540	2.028	1.39e-145
WDR34	ENSG00000119333.11	61.879	25.410	1.251	5.92e-94
SET	ENSG00000119335.16	276.435	99.057	1.471	8.36e-109
NEK6	ENSG00000119408.16	32.329	10.050	1.593	1.10e-129
NEK9	ENSG00000119638.12	21.400	45.301	-1.048	1.13e-35
IRF2BPL	ENSG00000119669.4	7.330	17.259	-1.132	1.41e-49
TGFB3	ENSG00000119699.7	4.000	9.410	-1.058	8.40e-12
RHOQ	ENSG00000119729.10	14.350	53.578	-1.830	2.05e-45
KLHL29	ENSG00000119771.14	2.760	6.780	-1.049	1.39e-17
FKBP1B	ENSG00000119782.13	2.490	6.620	-1.127	4.57e-44
YIPF4	ENSG00000119820.10	32.789	15.340	1.048	2.17e-88
EPCAM	ENSG00000119888.10	1014.813	43.440	4.515	9.89e-62
NKX2-3	ENSG00000119919.10	1.450	22.299	-3.249	7.77e-157
PPP1R3C	ENSG00000119938.8	0.660	9.300	-2.633	9.60e-79
PYROXD2	ENSG00000119943.10	2.790	9.670	-1.493	5.82e-73
MXI1	ENSG00000119950.20	18.790	42.961	-1.151	5.21e-54
HELLS	ENSG00000119969.14	8.850	1.190	2.169	1.42e-160
KCNIP2	ENSG00000120049.18	0.510	3.410	-1.546	2.82e-99
SFRP5	ENSG00000120057.4	0.040	12.550	-3.704	7.96e-125
HOXB8	ENSG00000120068.6	24.190	1.590	3.282	6.89e-95
HOXB3	ENSG00000120093.11	13.240	32.251	-1.223	2.80e-29
MSX2	ENSG00000120149.8	7.480	0.400	2.599	1.46e-136
RCL1	ENSG00000120158.11	15.530	6.330	1.173	2.12e-126
MTHFD1L	ENSG00000120254.15	22.161	4.260	2.139	5.08e-152
LRP11	ENSG00000120256.9	25.690	8.960	1.422	5.14e-133
PDZD11	ENSG00000120509.10	55.161	26.559	1.027	1.77e-82
NUDCD1	ENSG00000120526.10	15.490	5.370	1.372	1.18e-129
TNFSF11	ENSG00000120659.14	1.620	0.070	1.292	4.87e-90
PROSER1	ENSG00000120685.19	29.480	12.260	1.201	1.73e-82
SMAD9	ENSG00000120693.13	1.570	6.070	-1.460	3.05e-45
HSPH1	ENSG00000120694.19	79.478	23.720	1.703	2.38e-62
TGFBI	ENSG00000120708.16	447.516	65.999	2.743	1.10e-110
MYOT	ENSG00000120729.9	0.070	6.280	-2.766	4.82e-139
PLS1	ENSG00000120756.12	60.879	4.540	3.482	3.90e-45
TMPO	ENSG00000120802.13	48.381	15.390	1.591	2.99e-124
GLT8D2	ENSG00000120820.12	4.070	9.760	-1.086	2.98e-26
MTERF2	ENSG00000120832.9	6.700	15.980	-1.141	2.28e-53
SOCS2	ENSG00000120833.13	5.400	19.490	-1.679	2.22e-90
PDLIM2	ENSG00000120913.23	21.941	55.299	-1.295	4.30e-46
LYPLA1	ENSG00000120992.17	58.169	18.520	1.600	1.03e-117
SCPEP1	ENSG00000121064.12	21.130	62.270	-1.516	1.08e-50
SPOP	ENSG00000121067.17	27.839	60.770	-1.099	2.69e-31
TBX2	ENSG00000121068.13	2.660	7.850	-1.274	1.04e-68
NCAPH	ENSG00000121152.9	17.240	0.880	3.278	5.00e-173
MND1	ENSG00000121211.7	9.710	0.760	2.605	1.93e-198
TSHZ3	ENSG00000121297.6	1.160	10.520	-2.415	2.04e-78
PLBD1	ENSG00000121316.10	50.991	13.230	1.869	3.27e-69
KCNJ8	ENSG00000121361.3	1.790	8.320	-1.740	7.05e-38
ZNF549	ENSG00000121406.8	0.450	2.310	-1.191	1.73e-79
ZSCAN18	ENSG00000121413.12	6.290	56.300	-2.975	6.74e-104
ZNF211	ENSG00000121417.13	3.240	9.500	-1.308	2.37e-90
PDZRN3	ENSG00000121440.14	4.930	43.131	-2.896	1.33e-82
POPDC2	ENSG00000121577.13	1.200	64.359	-4.893	9.22e-93
KIF18A	ENSG00000121621.6	3.420	0.280	1.788	1.78e-194
MAPK8IP1	ENSG00000121653.11	1.950	5.480	-1.135	4.26e-25
PILRB	ENSG00000121716.18	13.030	41.180	-1.588	3.09e-40
TMEM54	ENSG00000121900.18	231.087	83.818	1.452	5.77e-14
GPSM2	ENSG00000121957.12	37.250	10.710	1.708	2.33e-102
GTF3A	ENSG00000122034.12	149.987	59.891	1.310	9.71e-82
LDB3	ENSG00000122367.19	0.140	16.700	-3.957	2.13e-120
NPY	ENSG00000122585.7	0.060	1.690	-1.344	5.61e-81
FAM126A	ENSG00000122591.11	1.690	6.170	-1.414	3.16e-38
INHBA	ENSG00000122641.9	6.660	0.340	2.515	4.05e-123
NT5C3A	ENSG00000122643.18	44.169	17.990	1.250	1.98e-61
GLIPR2	ENSG00000122694.15	10.820	51.118	-2.141	1.46e-105
RECK	ENSG00000122707.11	1.620	5.450	-1.300	1.42e-62
SPINK4	ENSG00000122711.8	80.722	3.610	4.148	1.97e-27
KIAA1549	ENSG00000122778.9	3.730	0.620	1.546	1.47e-181
TRIM24	ENSG00000122779.16	12.310	5.280	1.084	9.02e-111
NUDT10	ENSG00000122824.10	0.110	1.520	-1.183	1.70e-72
PLAU	ENSG00000122861.15	29.050	6.560	1.991	2.24e-87
P4HA1	ENSG00000122884.12	25.980	11.230	1.141	1.02e-52
ZWINT	ENSG00000122952.16	46.391	3.390	3.432	2.57e-134
RASSF8	ENSG00000123094.15	1.330	9.350	-2.151	4.17e-50
SSPN	ENSG00000123096.11	2.750	11.780	-1.769	4.90e-53
NECAB1	ENSG00000123119.11	0.100	4.360	-2.285	4.24e-89
PRDX4	ENSG00000123131.12	160.162	41.711	1.916	7.01e-148
NLN	ENSG00000123213.22	11.970	2.950	1.715	6.08e-113
ITIH5	ENSG00000123243.14	4.220	34.130	-2.751	8.71e-79
TSFM	ENSG00000123297.16	45.730	18.970	1.227	7.76e-108
NCKAP1L	ENSG00000123338.12	3.140	9.890	-1.395	6.98e-52
ORMDL2	ENSG00000123353.9	54.209	25.910	1.037	4.60e-55
PDE1B	ENSG00000123360.11	0.570	6.760	-2.305	3.32e-84
TUBA1B	ENSG00000123416.15	978.005	411.542	1.247	8.86e-57
STIL	ENSG00000123473.15	5.570	0.720	1.933	2.75e-120
HJURP	ENSG00000123485.11	10.610	0.880	2.627	2.86e-156
PLP1	ENSG00000123560.13	0.090	23.300	-4.479	1.19e-168
RAB9B	ENSG00000123570.3	0.250	2.680	-1.558	1.42e-79
OBSL1	ENSG00000124006.14	6.360	38.730	-2.432	9.48e-58
SLC12A4	ENSG00000124067.16	10.170	36.969	-1.765	1.74e-47
PI3	ENSG00000124102.4	70.751	5.310	3.507	3.19e-32
SLPI	ENSG00000124107.5	101.729	27.570	1.846	2.95e-47
PIGT	ENSG00000124155.16	131.963	63.399	1.046	2.02e-69
PARD6B	ENSG00000124171.8	3.590	0.680	1.450	3.12e-102
PTGIS	ENSG00000124212.5	0.850	17.570	-3.327	5.14e-71
MOCS3	ENSG00000124217.4	4.240	1.550	1.039	1.44e-109
PMEPA1	ENSG00000124225.15	47.540	13.030	1.791	4.33e-56
RNF114	ENSG00000124226.10	89.958	40.439	1.134	2.98e-88
POF1B	ENSG00000124429.17	46.481	2.130	3.923	2.41e-85
HIF3A	ENSG00000124440.15	0.430	34.621	-4.639	2.13e-150
F13A1	ENSG00000124491.15	1.650	17.670	-2.817	8.25e-89
SNRPC	ENSG00000124562.9	154.589	75.509	1.024	5.22e-90
PRICKLE4	ENSG00000124593.14	3.140	9.910	-1.398	1.73e-66
UNC5CL	ENSG00000124602.9	5.460	1.570	1.330	2.65e-71
MOCS1	ENSG00000124615.17	3.010	12.530	-1.754	1.98e-139
TREM1	ENSG00000124731.12	3.870	0.480	1.718	1.06e-48
SOX4	ENSG00000124766.5	29.881	4.660	2.448	1.12e-195
GLO1	ENSG00000124767.6	87.541	36.790	1.228	7.75e-101
SSR1	ENSG00000124783.12	67.522	22.641	1.535	8.44e-107
NRN1	ENSG00000124785.8	3.000	9.190	-1.349	2.98e-12
RPP40	ENSG00000124787.13	11.980	3.810	1.432	5.27e-141
RAB17	ENSG00000124839.12	19.340	3.730	2.104	3.00e-33
EREG	ENSG00000124882.3	8.880	0.730	2.514	3.29e-67
MYRF	ENSG00000124920.13	8.050	2.870	1.226	1.84e-27
MT1G	ENSG00000125144.13	94.378	28.749	1.681	2.11e-7
MT2A	ENSG00000125148.6	76.362	210.794	-1.453	8.88e-35
TMTC4	ENSG00000125247.15	14.230	5.580	1.211	1.27e-106
TM9SF2	ENSG00000125304.8	117.783	42.191	1.460	7.80e-76
SEP6	ENSG00000125354.22	14.500	30.819	-1.038	3.23e-29
SOX9	ENSG00000125398.5	72.378	2.720	4.302	7.75e-159
PPP1R12C	ENSG00000125503.12	41.000	188.902	-2.177	4.02e-85
SRMS	ENSG00000125508.3	1.470	0.060	1.220	2.25e-74
IL1B	ENSG00000125538.11	8.280	1.130	2.123	1.09e-55
POLR1B	ENSG00000125630.15	12.700	4.150	1.412	6.69e-160
PSD4	ENSG00000125637.15	18.450	6.610	1.354	3.61e-41
SLC25A23	ENSG00000125648.14	29.761	67.728	-1.160	5.28e-54
TNFSF9	ENSG00000125657.4	3.250	0.470	1.532	2.75e-68
SH2D3A	ENSG00000125731.12	25.860	4.080	2.403	1.93e-59
TRIP10	ENSG00000125733.17	41.940	99.091	-1.221	3.07e-54
SNRPD2	ENSG00000125743.10	419.840	185.053	1.178	1.97e-78
SDCBP2	ENSG00000125775.14	31.620	12.350	1.289	1.93e-3
FOXA2	ENSG00000125798.14	18.640	0.670	3.556	5.16e-120
PSMF1	ENSG00000125818.17	131.744	56.480	1.208	1.51e-73
SNRPB	ENSG00000125835.17	307.895	90.509	1.755	1.45e-121
NRSN2	ENSG00000125841.12	8.120	19.680	-1.181	2.65e-33
RRBP1	ENSG00000125844.15	152.228	58.169	1.373	4.89e-51
OVOL2	ENSG00000125850.10	11.230	0.990	2.620	1.21e-57
PCSK2	ENSG00000125851.9	0.010	2.200	-1.664	6.70e-93
SNRPB2	ENSG00000125870.10	63.809	30.819	1.026	1.91e-84
ITPA	ENSG00000125877.12	70.820	31.390	1.149	1.14e-86
FAM110A	ENSG00000125898.12	11.650	3.160	1.604	1.95e-103
NCLN	ENSG00000125912.10	64.471	26.829	1.234	3.17e-84
ERGIC3	ENSG00000125991.18	345.489	151.334	1.186	3.23e-77
ROMO1	ENSG00000125995.15	280.430	117.270	1.251	2.32e-69
PLAGL2	ENSG00000126003.6	17.540	4.900	1.652	4.93e-108
PSMB2	ENSG00000126067.11	75.019	33.490	1.140	3.28e-103
ST3GAL3	ENSG00000126091.19	2.580	13.540	-2.022	6.91e-77
KLC1	ENSG00000126214.20	33.990	99.787	-1.526	2.67e-52
PDCD2L	ENSG00000126249.7	16.640	5.320	1.481	2.56e-165
PRDX5	ENSG00000126432.13	586.179	186.095	1.650	1.75e-57
RRAS	ENSG00000126458.3	64.699	156.975	-1.266	9.40e-24
PRRG2	ENSG00000126460.10	9.620	1.570	2.047	6.21e-44
FLRT1	ENSG00000126500.3	0.180	1.700	-1.194	3.25e-88
WNK4	ENSG00000126562.16	14.810	3.620	1.775	7.34e-28
TRAP1	ENSG00000126602.10	112.430	44.541	1.317	3.74e-114
IFI6	ENSG00000126709.14	117.042	40.349	1.513	1.79e-36
UXT	ENSG00000126756.11	199.534	98.148	1.016	8.52e-67
RHOJ	ENSG00000126785.12	2.200	7.670	-1.438	8.24e-52
L3HYPDH	ENSG00000126790.11	5.260	15.470	-1.396	2.61e-54
HSPA2	ENSG00000126803.9	5.470	49.631	-2.968	6.17e-88
TMEM35	ENSG00000126950.7	0.350	15.450	-3.607	1.11e-100
TIMM8A	ENSG00000126953.5	9.330	2.880	1.413	1.83e-157
OMD	ENSG00000127083.7	0.160	2.450	-1.572	9.17e-72
MASP1	ENSG00000127241.16	0.300	23.520	-4.237	9.48e-97
TSPAN8	ENSG00000127324.8	724.779	57.440	3.635	1.35e-44
RAB3IP	ENSG00000127328.21	23.860	5.920	1.845	6.82e-87
YEATS4	ENSG00000127337.6	20.460	7.610	1.318	1.59e-146
LRRC61	ENSG00000127399.14	17.090	6.440	1.282	1.44e-118
IDUA	ENSG00000127415.12	6.060	14.320	-1.118	2.79e-51
FGFRL1	ENSG00000127418.14	21.580	7.940	1.337	4.07e-91
PLA2G5	ENSG00000127472.10	0.580	10.890	-2.912	1.85e-75
SIN3B	ENSG00000127511.9	12.090	34.760	-1.450	2.07e-68
KLF2	ENSG00000127528.5	6.510	26.690	-1.882	8.40e-65
PKMYT1	ENSG00000127564.16	28.561	1.950	3.325	1.18e-151
MACF1	ENSG00000127603.23	36.931	118.331	-1.654	1.37e-33
IL17B	ENSG00000127743.5	0.230	1.650	-1.107	8.90e-73
TUBA4A	ENSG00000127824.13	115.503	55.360	1.048	9.53e-68
VIL1	ENSG00000127831.10	172.051	6.880	4.457	2.22e-59
GNG11	ENSG00000127920.5	3.860	12.260	-1.448	1.37e-54
SHFM1	ENSG00000127922.9	288.614	115.792	1.310	1.58e-93
FGL2	ENSG00000127951.5	3.620	20.880	-2.244	8.39e-88
STYXL1	ENSG00000127952.16	47.500	20.310	1.186	2.47e-76
STEAP4	ENSG00000127954.12	0.540	4.950	-1.950	2.11e-71
GNAI1	ENSG00000127955.15	5.050	16.480	-1.531	3.88e-83
SGCE	ENSG00000127990.15	3.710	34.420	-2.911	1.34e-85
ZFP36	ENSG00000128016.5	106.713	240.467	-1.165	1.42e-31
SRD5A3	ENSG00000128039.10	18.911	5.270	1.667	2.52e-116
PAICS	ENSG00000128050.8	89.182	16.690	2.350	2.42e-183
PPAT	ENSG00000128059.8	10.080	2.280	1.756	6.53e-219
TUBGCP6	ENSG00000128159.11	10.370	28.111	-1.356	8.02e-65
GNAZ	ENSG00000128266.8	0.920	7.650	-2.172	1.59e-55
MPST	ENSG00000128309.16	125.504	60.450	1.042	2.40e-28
TST	ENSG00000128311.13	145.825	40.391	1.827	1.31e-17
RAC2	ENSG00000128340.14	30.300	11.800	1.290	1.74e-30
LIF	ENSG00000128342.4	9.600	3.340	1.288	1.15e-44
RIBC2	ENSG00000128408.8	1.590	0.210	1.098	5.69e-89
KRT17	ENSG00000128422.15	7.820	0.740	2.342	1.41e-66
RNF112	ENSG00000128482.15	0.240	7.100	-2.708	9.55e-157
LSM8	ENSG00000128534.7	56.869	18.150	1.595	4.34e-172
FOXP2	ENSG00000128573.22	0.540	10.040	-2.842	6.79e-97
FLNC	ENSG00000128591.15	3.560	100.078	-4.470	5.97e-70
FEZF1	ENSG00000128610.11	1.010	0.000	1.007	1.71e-63
MRPS12	ENSG00000128626.11	69.261	25.849	1.388	1.12e-108
MYO1B	ENSG00000128641.17	27.310	10.410	1.311	5.07e-88
GAD1	ENSG00000128683.13	1.510	0.120	1.164	1.24e-82
HOXD9	ENSG00000128709.11	2.520	7.150	-1.211	4.38e-29
HOXD10	ENSG00000128710.5	0.990	6.930	-1.995	2.09e-42
HOXD11	ENSG00000128713.12	0.870	3.290	-1.198	5.20e-21
SNRPN	ENSG00000128739.20	19.231	61.452	-1.626	2.61e-45
TMOD2	ENSG00000128872.9	0.990	5.310	-1.665	2.67e-67
TTBK2	ENSG00000128881.16	1.000	4.000	-1.322	2.36e-76
KNSTRN	ENSG00000128944.13	18.170	5.460	1.569	5.34e-136
PALLD	ENSG00000129116.17	36.559	246.799	-2.722	1.25e-52
SOX15	ENSG00000129194.7	0.390	6.330	-2.399	5.74e-99
FAM64A	ENSG00000129195.15	10.330	0.670	2.762	8.55e-146
TXNDC17	ENSG00000129235.10	164.175	58.068	1.484	1.44e-64
KLK10	ENSG00000129451.11	18.740	0.760	3.487	4.52e-108
KLK8	ENSG00000129455.15	2.270	0.000	1.709	4.24e-65
FOXA1	ENSG00000129514.5	10.960	1.220	2.430	5.09e-17
EPB41L4A	ENSG00000129595.12	0.830	2.770	-1.043	2.07e-67
RHBDF2	ENSG00000129667.12	24.820	9.080	1.357	7.28e-94
MAP7D3	ENSG00000129680.15	1.980	6.370	-1.306	1.94e-38
FGF13	ENSG00000129682.13	0.910	3.980	-1.383	1.80e-43
SGOL1	ENSG00000129810.14	5.110	0.290	2.244	6.37e-185
RPS4Y1	ENSG00000129824.15	10.890	189.610	-4.003	7.15e-4
KLF16	ENSG00000129911.8	17.689	6.510	1.315	1.56e-105
SHC2	ENSG00000129946.10	4.720	26.800	-2.281	1.20e-52
SYT5	ENSG00000129990.14	0.190	1.410	-1.018	3.76e-61
TNNI3	ENSG00000129991.12	2.460	0.460	1.245	3.55e-50
GAMT	ENSG00000130005.11	1.670	5.890	-1.368	8.93e-51
HDHD1	ENSG00000130021.13	18.830	6.980	1.313	1.21e-66
STARD8	ENSG00000130052.13	0.830	2.820	-1.062	7.46e-76
GNL3L	ENSG00000130119.15	6.900	2.720	1.087	1.04e-90
SH3BP4	ENSG00000130147.15	26.099	8.210	1.557	4.05e-143
LDLR	ENSG00000130164.11	42.650	17.400	1.246	1.68e-43
THEM6	ENSG00000130193.7	35.280	9.800	1.748	2.98e-126
PVRL2	ENSG00000130202.9	81.899	35.390	1.188	4.62e-80
TOMM40	ENSG00000130204.12	78.973	27.131	1.507	3.41e-117
GADD45G	ENSG00000130222.10	6.830	16.040	-1.122	5.16e-29
LRCH2	ENSG00000130224.14	0.210	4.310	-2.134	1.17e-90
RPL36	ENSG00000130255.12	1970.163	741.343	1.409	1.21e-70
KIF1A	ENSG00000130294.14	0.090	2.800	-1.802	5.91e-86
USHBP1	ENSG00000130307.11	0.550	2.370	-1.120	8.47e-86
LSM7	ENSG00000130332.14	205.913	74.089	1.462	1.79e-109
STK33	ENSG00000130413.15	0.640	5.280	-1.937	4.49e-49
FCHO1	ENSG00000130475.14	7.650	1.600	1.734	1.15e-85
PXDN	ENSG00000130508.10	10.700	25.120	-1.159	2.91e-17
GDF15	ENSG00000130513.6	143.867	8.810	3.884	5.18e-155
KIAA1683	ENSG00000130518.16	0.300	2.610	-1.473	6.09e-131
LSM4	ENSG00000130520.10	188.144	68.142	1.452	4.03e-98
HRC	ENSG00000130528.11	0.220	1.560	-1.069	2.23e-98
SULT4A1	ENSG00000130540.13	0.050	1.150	-1.034	4.31e-45
OLFM1	ENSG00000130558.18	1.740	14.130	-2.465	6.33e-107
HELZ2	ENSG00000130589.16	22.441	6.870	1.575	6.63e-104
SAMD10	ENSG00000130590.13	8.550	2.900	1.292	2.93e-100
TNNT3	ENSG00000130595.16	0.050	2.330	-1.665	1.80e-95
PNPLA7	ENSG00000130653.15	1.220	11.120	-2.449	5.79e-137
MNX1	ENSG00000130675.14	6.800	0.640	2.250	6.20e-70
ZNF337	ENSG00000130684.13	6.340	15.760	-1.191	1.83e-35
RBBP8NL	ENSG00000130701.3	5.990	0.320	2.405	2.62e-112
LAMA5	ENSG00000130702.13	28.271	170.934	-2.554	7.54e-47
FIBCD1	ENSG00000130720.12	4.120	0.570	1.705	7.05e-35
SMPDL3B	ENSG00000130768.14	17.380	1.810	2.709	1.11e-40
PNCK	ENSG00000130822.15	0.680	56.539	-5.098	3.04e-88
ZNF331	ENSG00000130844.16	2.640	9.300	-1.501	1.70e-43
HSD17B3	ENSG00000130948.9	0.280	2.000	-1.229	1.95e-75
RGN	ENSG00000130988.12	0.460	4.460	-1.903	2.34e-44
TXLNGY	ENSG00000131002.11	0.900	14.840	-3.059	9.41e-5
SYNE1	ENSG00000131018.22	3.480	22.960	-2.419	3.42e-88
ULBP3	ENSG00000131019.10	1.770	0.160	1.256	5.93e-169
EPS8L1	ENSG00000131037.14	34.040	5.740	2.378	2.18e-74
PYY	ENSG00000131096.10	0.060	6.170	-2.758	2.35e-38
GINS2	ENSG00000131153.8	13.580	0.800	3.018	3.10e-159
SH3BGRL	ENSG00000131171.12	47.698	115.032	-1.253	4.29e-30
F12	ENSG00000131187.9	18.780	1.940	2.750	7.24e-132
PRR7	ENSG00000131188.11	5.080	0.900	1.678	2.45e-166
NFATC1	ENSG00000131196.17	1.810	7.250	-1.554	1.65e-48
IDO1	ENSG00000131203.12	5.000	0.980	1.599	7.31e-35
RAB11FIP4	ENSG00000131242.15	14.870	1.670	2.571	1.02e-85
SH3BP5	ENSG00000131370.15	7.010	15.040	-1.002	4.60e-28
GALNT15	ENSG00000131386.17	0.450	9.130	-2.805	1.29e-107
SLC6A6	ENSG00000131389.16	21.060	4.180	2.090	2.64e-118
LRRC4B	ENSG00000131409.12	0.270	1.590	-1.028	3.04e-105
PDLIM4	ENSG00000131435.12	7.240	75.029	-3.206	3.61e-66
GFPT2	ENSG00000131459.12	1.530	9.990	-2.119	1.55e-47
PSME3	ENSG00000131467.10	80.097	37.379	1.079	1.52e-75
VPS25	ENSG00000131475.6	81.831	36.750	1.134	8.51e-77
TMEM204	ENSG00000131634.13	7.010	19.100	-1.327	1.66e-44
MAP1B	ENSG00000131711.14	0.870	8.500	-2.345	9.56e-72
TNS4	ENSG00000131746.12	39.940	0.550	4.723	7.42e-198
TOP2A	ENSG00000131747.14	43.870	2.460	3.697	8.25e-157
PPP1R1B	ENSG00000131771.13	292.805	34.671	3.042	1.07e-60
PIAS3	ENSG00000131788.15	9.860	31.879	-1.598	3.28e-52
PRKAB2	ENSG00000131791.7	5.320	14.330	-1.278	1.42e-71
RAI2	ENSG00000131831.17	2.350	21.450	-2.744	1.01e-91
MCCC2	ENSG00000131844.15	45.610	17.650	1.321	5.75e-84
ZNF304	ENSG00000131845.14	0.590	3.190	-1.398	1.14e-93
NR0B2	ENSG00000131910.4	3.020	0.100	1.870	2.48e-84
RHPN2	ENSG00000131941.7	31.430	3.200	2.949	6.03e-77
GCH1	ENSG00000131979.18	10.710	4.580	1.069	4.19e-55
LGALS3	ENSG00000131981.15	893.236	259.429	1.780	6.63e-31
PODNL1	ENSG00000132000.11	5.740	1.950	1.192	6.28e-70
ZSWIM4	ENSG00000132003.9	5.130	2.050	1.007	2.13e-93
PPARG	ENSG00000132170.19	41.839	11.970	1.724	2.32e-35
NUP210	ENSG00000132182.11	17.280	3.960	1.882	5.09e-98
TRIM22	ENSG00000132274.15	12.480	26.930	-1.051	1.05e-23
RAMP1	ENSG00000132329.10	10.420	174.816	-3.944	4.73e-37
RAN	ENSG00000132341.11	734.744	203.050	1.850	1.46e-118
SERPINF1	ENSG00000132386.10	40.771	106.801	-1.368	3.86e-36
PNISR	ENSG00000132424.14	24.439	110.683	-2.134	2.58e-81
POPDC3	ENSG00000132429.9	0.150	1.850	-1.309	1.01e-46
FIGNL1	ENSG00000132436.11	7.730	2.700	1.238	1.06e-114
ITGB4	ENSG00000132470.13	156.910	67.260	1.210	5.26e-63
ZRANB2	ENSG00000132485.12	28.010	59.540	-1.061	3.93e-47
MATN2	ENSG00000132561.13	13.830	41.981	-1.535	1.56e-62
REEP2	ENSG00000132563.15	0.710	12.620	-2.994	3.27e-90
NIP7	ENSG00000132603.13	28.879	8.870	1.598	1.52e-151
MTSS1L	ENSG00000132613.14	14.050	49.710	-1.753	9.23e-29
HSPA12B	ENSG00000132622.10	1.290	4.070	-1.147	1.93e-56
SNAP25	ENSG00000132639.12	0.110	2.580	-1.689	4.35e-71
PCNA	ENSG00000132646.10	156.975	32.280	2.247	3.99e-139
NXT1	ENSG00000132661.3	26.390	12.330	1.039	1.43e-76
RAB25	ENSG00000132698.13	205.229	12.390	3.945	1.55e-73
SYT11	ENSG00000132718.8	2.100	8.260	-1.579	1.16e-49
IGHMBP2	ENSG00000132740.8	7.900	23.530	-1.463	6.58e-59
MTL5	ENSG00000132749.10	7.680	0.960	2.147	2.99e-80
MMACHC	ENSG00000132763.14	5.690	1.910	1.201	2.81e-108
RBM38	ENSG00000132819.16	22.899	51.890	-1.146	1.78e-28
POMP	ENSG00000132963.7	139.690	55.349	1.320	4.35e-105
HMGB1P5	ENSG00000132967.9	105.733	42.970	1.279	3.22e-74
WASF3	ENSG00000132970.12	0.470	4.940	-2.015	1.07e-55
MYH10	ENSG00000133026.12	3.910	8.990	-1.025	5.65e-15
LGR6	ENSG00000133067.17	5.700	0.710	1.970	1.19e-76
SPG20	ENSG00000133104.12	3.210	31.210	-2.936	3.06e-98
EPSTI1	ENSG00000133106.14	28.749	4.620	2.404	1.32e-97
RFC3	ENSG00000133119.12	18.250	3.210	2.193	9.78e-196
STARD13	ENSG00000133121.20	4.880	16.680	-1.588	3.55e-54
RNF128	ENSG00000133135.13	35.179	0.750	4.370	3.87e-104
TCEAL4	ENSG00000133142.17	51.872	114.404	-1.126	2.38e-20
SLC39A11	ENSG00000133195.11	27.340	6.510	1.916	4.04e-113
EPHB2	ENSG00000133216.16	58.169	4.110	3.533	8.18e-126
MACROD1	ENSG00000133315.10	52.501	25.040	1.039	2.46e-53
MYH11	ENSG00000133392.16	16.930	2405.631	-7.068	2.41e-104
LARGE	ENSG00000133424.20	6.310	16.570	-1.265	3.54e-65
GSTT2B	ENSG00000133433.10	2.100	7.830	-1.510	2.39e-31
FAM83F	ENSG00000133477.16	9.480	0.680	2.641	1.03e-62
KRBA1	ENSG00000133619.17	0.630	6.290	-2.161	1.08e-89
ZNF767P	ENSG00000133624.13	3.760	14.960	-1.745	3.37e-75
TMTC1	ENSG00000133687.15	0.790	6.450	-2.057	1.10e-89
LYVE1	ENSG00000133800.8	0.740	26.440	-3.979	8.12e-169
ZFC3H1	ENSG00000133858.15	11.930	25.451	-1.033	1.20e-36
TTC9	ENSG00000133985.2	2.190	0.570	1.023	5.40e-77
IRAK2	ENSG00000134070.4	4.080	1.450	1.052	6.27e-67
MEIS2	ENSG00000134138.19	2.120	29.019	-3.266	1.85e-75
GSTM1	ENSG00000134184.12	1.160	20.060	-3.285	1.02e-9
REG4	ENSG00000134193.14	59.979	1.110	4.853	1.22e-50
TSPAN2	ENSG00000134198.9	3.520	25.430	-2.548	2.91e-49
GSTM5	ENSG00000134201.10	0.690	7.090	-2.259	1.15e-117
VAV3	ENSG00000134215.15	26.800	5.960	1.998	1.77e-22
PSRC1	ENSG00000134222.16	9.770	3.490	1.262	2.53e-102
HMGCS2	ENSG00000134240.11	57.472	17.660	1.648	1.86e-3
WNT2B	ENSG00000134245.17	0.960	3.030	-1.040	9.65e-78
NGF	ENSG00000134259.3	0.260	2.300	-1.389	1.82e-63
FKBP11	ENSG00000134285.10	52.709	20.559	1.317	3.46e-47
TMEM106C	ENSG00000134291.11	136.996	61.379	1.145	1.04e-53
LDHA	ENSG00000134333.13	766.317	291.408	1.392	2.96e-61
SAA2	ENSG00000134339.8	3.490	1.120	1.083	3.38e-14
IL6ST	ENSG00000134352.19	8.250	23.769	-1.421	1.65e-67
FST	ENSG00000134363.11	0.930	5.580	-1.769	4.74e-73
NAV1	ENSG00000134369.15	3.520	8.300	-1.041	7.67e-33
ERN2	ENSG00000134398.12	32.540	9.450	1.682	1.82e-15
RERG	ENSG00000134533.6	1.060	19.779	-3.334	2.44e-89
LRP4	ENSG00000134569.9	14.480	3.770	1.698	7.27e-46
FAM127A	ENSG00000134590.13	37.049	145.774	-1.948	1.94e-56
STK26	ENSG00000134602.15	14.220	5.070	1.326	6.54e-124
YARS	ENSG00000134684.10	60.291	28.819	1.039	1.19e-64
HOOK1	ENSG00000134709.10	10.670	1.100	2.474	6.95e-58
ZCCHC11	ENSG00000134744.13	11.460	25.300	-1.078	1.54e-44
FHOD3	ENSG00000134775.15	2.110	8.550	-1.619	1.14e-52
TIMM10	ENSG00000134809.8	60.858	27.460	1.120	3.39e-90
TCN1	ENSG00000134827.7	2.250	0.080	1.589	2.95e-62
PDGFRA	ENSG00000134853.11	5.650	26.139	-2.029	3.09e-90
GGACT	ENSG00000134864.10	5.820	2.270	1.061	5.33e-82
UBAC2	ENSG00000134882.15	83.998	35.060	1.237	2.65e-108
